Time,ABSOLUTE_TIME,Plane_Altitude,Indicated_Altitude,Airspeed_True,Airspeed_Indicated,Plane_Pitch_Degrees,Plane_Bank_Degrees,Plane_Heading_Degrees_True,Plane_Heading_Degrees_Magnetic,Acceleration_Body_X,Acceleration_Body_Y,Acceleration_Body_Z,Plane_Latitude,Plane_Longitude,Incidence_Alpha,Incidence_Beta,Rotation_Velocity_Body_X,Rotation_Velocity_Body_Y,Rotation_Velocity_Body_Z,General_Eng_RPM_1,General_Eng_RPM_2,General_Eng_RPM_3,General_Eng_RPM_4,Elevator_Deflection,Rudder_Deflection,Aileron_Left_Deflection,Aileron_Right_Deflection,Trailing_Edge_Flaps_Left_Angle,Trailing_Edge_Flaps_Right_Angle,Leading_Edge_Flaps_Left_Angle,Leading_Edge_Flaps_Right_Angle,Spoilers_Left_Position,Spoilers_Right_Position,Gear_Center_Position,Gear_Left_Position,Gear_Right_Position
0,63726135141,2305.007929,2309.184082,115.6577682,112.4248962,8.929066175,13.57836702,281.6064802,268.7325836,-0.241421538,-0.169829222,-0.023459482,34.15183371,-118.3673517,2.002366858,0.313003637,1.772759786,-2.739907308,-2.868775341,3716.245502,3716.247332,0,0,0,0,1.616892963,2.694821605,42,42,0,0,0,0,1,1,1
0.055496216,63726135141,2301.450908,2305.693115,115.6305389,112.3947754,9.157315729,13.23237981,281.3982885,268.5243919,-0.237278056,-0.175841523,-0.019852429,34.15184472,-118.3674091,1.984818395,0.360897778,1.84269648,-2.512958509,-3.568212393,3712.589308,3712.591895,0,0,0,0,1.616892963,2.694821605,42,42,0,0,0,0,1,1,1
0.222198486,63726135141,2295.444495,2299.79834,115.6173096,112.3661728,9.52910427,12.56936404,281.1025518,268.2286552,-0.227435117,-0.183284132,-0.013958517,34.15186253,-118.3675037,1.962817502,0.430595216,1.888893734,-2.120500103,-4.092189527,3706.784348,3706.788129,0,0,0,0,1.616892963,2.694821605,42,42,0,0,0,0,1,1,1
0.277702332,63726135141,2292.715605,2297.148682,115.60672,112.359024,9.69045639,12.25795803,280.9894453,268.1155487,-0.222861791,-0.186915238,-0.011432555,34.1518703,-118.3675458,1.950336398,0.433993341,1.897873093,-1.950407819,-4.193066101,3704.300049,3704.304341,0,0,0,0,1.616892963,2.694821605,42,42,0,0,0,0,1,1,1
0.388801575,63726135141,2288.868153,2293.37085,115.5942688,112.350174,9.91006917,11.81803359,280.8507406,267.9768441,-0.214185488,-0.195938439,-0.008264138,34.15188096,-118.3676041,1.927442031,0.435842829,1.900895613,-1.714152546,-4.377197315,3700.938376,3700.943358,0,0,0,0,2.375973227,3.959955379,42,42,0,0,0,0,1,1,1
0.5,63726135142,2285.33452,2289.888916,115.5922928,112.3420563,10.10270356,11.32009941,280.7440458,267.8701492,-0.197395161,-0.214839,-0.006804268,34.15189045,-118.3676568,1.939011731,0.421455622,1.893600877,-1.483612606,-7.111178191,3697.99087,3697.996457,0,0,0,0,5.622186966,9.37031161,42,42,0,0,0,0,1,1,1
0.666595459,63726135142,2278.420999,2283.153564,115.5877151,112.3414383,10.45730222,9.36192477,280.5946262,267.7207297,-0.170230486,-0.223672175,-0.000992556,34.15190826,-118.3677572,1.951986316,0.382424746,1.930329919,-1.00596362,-14.77569728,3692.619314,3692.626008,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
0.722198486,63726135142,2275.189104,2279.974854,115.5922394,112.3444748,10.61633805,8.143008773,280.5479293,267.6740327,-0.151776947,-0.226277487,0.001967574,34.15191628,-118.3678031,1.958998145,0.380226439,1.96954046,-0.802824464,-16.52093251,3690.270649,3690.277829,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
0.888801575,63726135142,2268.480549,2273.419678,115.5851212,112.3540192,10.94301831,5.379108755,280.4918749,267.6179783,-0.108157423,-0.228980808,0.007734108,34.15193237,-118.3678962,1.971827589,0.483164594,2.079853678,-0.394294289,-18.37236007,3685.70153,3685.70966,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
0.944396973,63726135142,2265.954086,2270.931152,115.6018295,112.3577118,11.0651993,4.303392363,280.4833666,267.60947,-0.090879599,-0.231697118,0.009626125,34.15193827,-118.3679306,1.965638583,0.481957251,2.103027269,-0.247355546,-18.72999482,3684.077403,3684.085872,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
1.055496216,63726135142,2261.031711,2266.12207,115.6364517,112.3763657,11.30005535,2.198028472,280.4868372,267.6129407,-0.0565753,-0.235478395,0.013240761,34.15194952,-118.3679967,1.945282272,0.498676487,2.126255857,0.067362488,-19.13382186,3681.084459,3681.093561,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
1.222198486,63726135142,2253.844518,2259.047119,115.7018585,112.4271317,11.63757598,-0.847491647,280.5368531,267.6629565,-0.005579603,-0.236331243,0.018413314,34.15196549,-118.3680909,1.936181685,0.548254642,2.137247521,0.501531265,-19.36000323,3677.104907,3677.114875,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
1.277702332,63726135142,2250.857428,2256.119385,115.7404099,112.4545746,11.77743862,-2.094360931,280.5723439,267.6984473,0.016685406,-0.237284165,0.020431443,34.15197199,-118.3681293,1.929952553,0.555822705,2.150950566,0.683527037,-19.39871078,3675.5864,3675.596709,0,0,0,0,6.286931722,10.47821954,42,42,0,0,0,0,1,1,1
